num,dataset,variable group,Variable Type (SAS),core,variable,label,whereClause,dataType,length,fractionDigits,sasFieldName,codeList,displayFormat,role,mandatory,comment,method,methodName,note,lengthAsData,lengthAsCodeList,originType,originDescription,crfPages,VARIABLE_CODELIST
110,ADINJREC,Analysis Parameter Variables for BDS Datasets,Char,Cond,AVALC,Analysis Value (C),,text,8,,AVALC,Analysis Value (C) - ADINJREC,,,No,,,,,,,,,,N@Y@BLEEDING
116,ADINJREC,Datapoint Traceability Variables,Char,Perm,SRCDOM,Source Data,,text,2,,SRCDOM,Source Data - ADINJREC,,,No,,,,,,,Assigned,,,FA@CE
117,ADINJREC,Datapoint Traceability Variables,Char,Perm,SRCVAR,Source Variable,,text,8,,SRCVAR,Source Variable - ADINJREC,,,No,,,,,,,Assigned,,,FASTRESC@CETERM
118,ADINJREC,Datapoint Traceability Variables,Num,Perm,SRCSEQ,Source Sequence Number,,integer,2,,SRCSEQ,,,,No,,Set to sequence number XX.XXSEQ of the source dataset,,,,,Derived,,,
1,ADISADA,Identifier Variables for BDS Datasets,Char,Req,STUDYID,Study Identifier,,text,11,,STUDYID,Study Identifier,,,Yes,,,,,,,Predecessor,ADSL.STUDYID,,
2,ADISADA,Identifier Variables for BDS Datasets,Char,Req,USUBJID,Unique Subject Identifier,,text,18,,USUBJID,,,,Yes,,,,,,,Predecessor,ADSL.USUBJID,,
3,ADISADA,ADSL Identifier Variables,Char,Req,SUBJID,Subject Identifier for the Study,,text,3,,SUBJID,,,,No,,,,,,,Predecessor,ADSL.SUBJID,,
4,ADISADA,Identifier Variables for BDS Datasets,Char,Perm,SITEID,Study Site Identifier,,text,2,,SITEID,Study Site Identifier,,,No,,,,,,,Predecessor,ADSL.SITEID,,
5,ADISADA,ADSL Subject Demographics Variables,Num,Req,AGE,Age,,integer,2,,AGE,,,,No,,,,,,,Predecessor,ADSL.AGE,,
6,ADISADA,ADSL Subject Demographics Variables,Char,Req,AGEU,Age Units,,text,5,,AGEU,Age Units,,,No,,,,,,,Predecessor,ADSL.AGEU,,YEARS
7,ADISADA,ADSL Subject Demographics Variables,Char,Req,SEX,Sex,,text,1,,SEX,Sex,,,No,,,,,,,Predecessor,ADSL.SEX,,M@F
8,ADISADA,ADSL Subject Demographics Variables,Char,Req,RACE,Race,,text,41,,RACE,Race,,,No,,,,,,,Predecessor,ADSL.RACE,,WHITE@BLACK OR AFRICAN AMERICAN@OTHER@ASIAN
9,ADISADA,ADSL Population Indicator Variables,Char,Cond,SAFFL,Safety Population Flag,,text,1,,SAFFL,No Yes Response - N/Y,,,Yes,,,,,,,Predecessor,ADSL.SAFFL,,Y@N
10,ADISADA,ADSL Population Indicator Variables (Sponsor-Defined),Char,,PKFL,Pharmacokinetic Analysis Population Flag,,text,1,,PKFL,No Yes Response,,,No,,,,,,,Predecessor,ADSL.PKFL,,Y
11,ADISADA,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTSDT,Date of First Exposure to Treatment,,integer,5,,TRTSDT,,YYMMDD10.,,No,,,,,,,Predecessor,ADSL.TRTSDT,,
12,ADISADA,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTSTM,Time of First Exposure to Treatment,,integer,5,,TRTSTM,,TIME5.,,No,,,,,,,Predecessor,ADSL.TRTSTM,,
13,ADISADA,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTSDTM,Datetime of First Exposure to Treatment,,integer,10,,TRTSDTM,,E8601DT16.,,No,,,,,,,Predecessor,ADSL.TRTSDTM,,
14,ADISADA,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTEDT,Date of Last Exposure to Treatment,,integer,5,,TRTEDT,,YYMMDD10.,,No,,,,,,,Predecessor,ADSL.TRTEDT,,
15,ADISADA,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTETM,Time of Last Exposure to Treatment,,integer,5,,TRTETM,,TIME5.,,No,,,,,,,Predecessor,ADSL.TRTETM,,
16,ADISADA,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTEDTM,Datetime of Last Exposure to Treatment,,integer,10,,TRTEDTM,,E8601DT16.,,No,,,,,,,Predecessor,ADSL.TRTEDTM,,
17,ADISADA,Record-Level Treatment Variables for BDS Datasets ,Char,Cond,TRTP,Planned Treatment,,text,30,,TRTP,Planned/Actual Treatment ,,,No,,,,,,,Predecessor,ADSL.TRT01P,,Placebo@0.15 mg MEDI0618 (intravenous)@0.45 mg MEDI0618 (intravenous)@1.35 mg MEDI0618 (intravenous)@4 mg MEDI0618 (intravenous)@12 mg MEDI0618 (intravenous)@40 mg MEDI0618 (intravenous)@100 mg MEDI0618 (intravenous)@200 mg MEDI0618 (intravenous)@100 mg MEDI0618 (subcutaneous)@IV 0.45 mg MEDI0618@IV 1.35 mg MEDI0618@IV 4 mg MEDI0618@IV 12 mg MEDI0618@IV 40 mg MEDI0618@IV 100 mg MEDI0618@IV 200 mg MEDI0618
18,ADISADA,Record-Level Treatment Variables for BDS Datasets (Sponsor-Defined),Char,,TRTPG1,Planned Pooled Treatment 1,,text,8,,TRTPG1,Planned/Actual Pooled Treatment,,,No,,,,,,,Predecessor,ADSL.TRT01PG1,,Placebo@MEDI0618
19,ADISADA,Record-Level Treatment Variables for BDS Datasets ,Char,,TRTA,Actual Treatment,,text,30,,TRTA,Planned/Actual Treatment ,,,No,,,,,,,Predecessor,ADSL.TRT01A,,Placebo@0.15 mg MEDI0618 (intravenous)@0.45 mg MEDI0618 (intravenous)@1.35 mg MEDI0618 (intravenous)@4 mg MEDI0618 (intravenous)@12 mg MEDI0618 (intravenous)@40 mg MEDI0618 (intravenous)@80 mg MEDI0618 (intravenous)@200 mg MEDI0618 (intravenous)@100 mg MEDI0618 (subcutaneous)
20,ADISADA,Record-Level Treatment Variables for BDS Datasets (Sponsor-Defined),Char,,TRTAG1,Actual Pooled Treatment 1,,text,8,,TRTAG1,Planned/Actual Pooled Treatment,,,No,,,,,,,Predecessor,ADSL.TRT01AG1,,Placebo@MEDI0618
21,ADISADA,Grouping Variables for BDS (Sponsor-Defined),Char,,COHORT,Cohort ,,text,23,,COHORT,Cohort,,,No,,,,,,,Predecessor,ADSL.COHORT,,COHORT 1 (INTRAVENOUS)@COHORT 2 (INTRAVENOUS)@COHORT 3 (INTRAVENOUS)@COHORT 4 (INTRAVENOUS)@COHORT 5 (INTRAVENOUS)@COHORT 6 (INTRAVENOUS)@COHORT 7 (INTRAVENOUS)@COHORT 8 (INTRAVENOUS)@COHORT 9 (SUBCUTANEOUS)@COHORT2@COHORT3@COHORT4@COHORT5@COHORT6@COHORT7@COHORT8
22,ADISADA,Grouping Variables for BDS (Sponsor-Defined),Char,,COHORTG1,Pooled Cohort Group 1,,text,24,,COHORTG1,Pooled Cohort Group 1,,,No,,,,,,,Predecessor,ADSL.COHORTG1,,COHORT 1 (INTRAVENOUS)@COHORT 2 (INTRAVENOUS)@COHORT 3 (INTRAVENOUS)@COHORT 4 (INTRAVENOUS)@COHORT 5-8 (INTRAVENOUS)@COHORT 9 (SUBCUTANEOUS)@COHORT2@COHORT3@COHORT4@COHORT 5-8
23,ADISADA,Grouping Variables for BDS (Sponsor-Defined),Char,,COHORTG2,Pooled Cohort Group 2,,text,24,,COHORTG2,Pooled Cohort Group 2,,,No,,,,,,,Predecessor,ADSL.COHORTG2,,COHORT 1-8 (INTRAVENOUS)@COHORT 1-8
24,ADISADA,Identifier Variables for BDS Datasets,Num,Perm,ASEQ,Analysis Sequence Number,,integer,2,,ASEQ,,,,No,,,,,,,Assigned,,,
25,ADISADA,Timing Variables for BDS Datasets,Num,Perm,ADT,Analysis Date,,integer,5,,ADT,,YYMMDD10.,,No,,Date part of IS.ISDTC converted to numeric SAS date,MT.ADISADA.ADT,,,,Derived,,,
26,ADISADA,Timing Variables for BDS Datasets,Num,Perm,ATM,Analysis Time,,integer,5,,ATM,,TIME5.,,No,,Time part of IS.ISDTC converted to numeric SAS date,MT.ADISADA.ATM,,,,Derived,,,
27,ADISADA,Timing Variables for BDS Datasets,Num,Perm,ADTM,Analysis Datetime,,integer,10,,ADTM,,E8601DT16.,,No,,IS.ISDTC converted to numeric SAS date,MT.ADISADA.ADTM,,,,Derived,,,
28,ADISADA,Timing Variables for BDS Datasets,Num,Perm,ADY,Analysis Relative Day ,,integer,2,,ADY,,,,No,,If ADT >= TRTSDT then ADY = ADT - TRTSDT + 1 Else if ADT<TRTSDT then ADY = ADT - TRTSDT,MT.ADISADA.ADY,,,,Derived,,,
43,ADISADA,Timing Variables for BDS Datasets,Char,Cond,AVISIT,Analysis Visit ,,text,26,,AVISIT,Analysis Visit - ADISADA,,,No,,Value level metadata,MT.ADISADA.AVISIT,,,,Derived,,,Baseline@Day 8@Study participation period@Day 15@Day 29@Day 57@Day 71@Day 85@Baseline@Unscheduled 2.01@Day 22@Day 43
44,ADISADA,Timing Variables for BDS Datasets,Num,Perm,AVISITN,Analysis Visit (N),,integer,3,,AVISITN,Analysis Visit (N) - ADISADA,,,No,,,,,,,Assigned,,,
104,ADISADA,Analysis Parameter Variables for BDS Datasets,Char,Req,PARAM,Parameter ,,text,57,,PARAM,Parameters - ADISADA,,,Yes,,,,,,,Assigned,,,Binding Antidrug Antibody Screening@Positive at any visit (Y/N)@Treatment-induced positive (Y/N)@Treatment-boosted positive (Y/N)@Treatment-emergent positive (Y/N)@Positive at baseline and post-baseline (Y/N)@Positive at baseline and not detected post-baseline (Y/N)@Binding Antidrug Antibody Titer@Diastolic Blood Pressure (mmHg)@Pulse Rate (beats/min)@Respiratory Rate (breaths/min)@Systolic Blood Pressure (mmHg)@Temperature (C)
105,ADISADA,Analysis Parameter Variables for BDS Datasets,Char,Req,PARAMCD,Parameter Code,,text,8,,PARAMCD,Parameter Code - ADISADA,,,Yes,,,,,,,Assigned,,,ADA_BABS@ADAPOSVI@ADAINPOS@ADABOPOS@ADAEMPOS@ADAPOSPO@ADAPOSNG@ADA_BABT@
106,ADISADA,Analysis Parameter Variables for BDS Datasets,Char,Perm,PARAMTYP,Parameter Type,,text,7,,PARAMTYP,Parameter Type,,,No,,,,,,,Assigned,,,DERIVED
107,ADISADA,Analysis Parameter Variables for BDS Datasets,Num,Cond,AVAL,Analysis Value,,integer,2,,AVAL,,,,No,,Valuelevel metadata,MT.ADISADA.AVAL,,,,Derived,,,
108,ADISADA,Analysis Parameter Variables for BDS Datasets,Char,Cond,AVALC,Analysis Value (C),,text,8,,AVALC,AVALC / BASEC - ADISADA,,,No,,Value level metadata,MT.ADISADA.AVALC,,,,Derived,,,NEGATIVE@POSITIVE@Y@N@2@<2@4@8@16@32
109,ADISADA,Analysis Parameter Variables for BDS Datasets,Num,Cond,BASE,Baseline Value,,integer,1,,BASE,,,,No,,AVAL of the baseline record identified by ABLFL,MT.ADISADA.BASE,,,,Derived,,,
112,ADISADA,Analysis Parameter Variables for BDS Datasets,Char,Perm,BASEC,Baseline Value (C),,text,8,,BASEC,AVALC / BASEC - ADISADA,,,No,,AVALC of the baseline record identified by ABLFL,MT.ADISADA.BASEC,,,,Derived,,,
113,ADISADA,Flag Variables for BDS Datasets,Char,Cond,ABLFL,Baseline Record Flag,,text,1,,ABLFL,No Yes Response - Y,,,No,,"Set to ""Y"" for records with AVISIT = ""Baseline""",MT.ADISADA.ABLFL,,,,Derived,,,Y
114,ADISADA,Analysis Descriptor Variables for BDS Datasets,Char,Cond,DTYPE,Derivation Type,,text,7,,DTYPE,Derivation Type - ADISADA,,,No,,"Set to ""LLOQ"" if AVALC=""<2""; set to ""PHANTOM"" for records added for missed assessments.",,,,,Assigned,,,PHANTOM
115,ADISADA,Analysis Parameter Criteria Variables for BDS Datasets,Char,Perm,CRIT1,Analysis Criterion 1,,text,50,,CRIT1,Analysis Criterion 1 - ADISADA,,,No,,"If PARAMCD = ""ADA_BABS"" and BASEC = ""NEGATIVE"" and AVALC = ""POSITIVE"" then CRIT1 = ""Negative at baseline and positive at current visit""",MT.ADISADA.CRIT1,,,,Derived,,,
116,ADISADA,Analysis Parameter Criteria Variables for BDS Datasets,Char,Cond,CRIT1FL,Criterion 1 Evaluation Result Flag,,text,1,,CRIT1FL,No Yes Response - Y,,,No,,"Set to ""Y"" if CRIT1 is populated",MT.ADISADA.CRIT1FL,,,,Derived,,,
117,ADISADA,Analysis Parameter Criteria Variables for BDS Datasets,Char,Perm,CRIT2,Analysis Criterion 2,,text,38,,CRIT2,Analysis Criterion 2 - ADISADA,,,No,,"If PARAMCD = ""ADA_BABS"" and BASEC = ""POSITIVE"" and AVALC = ""POSITIVE"" then CRIT1 = ""Positive at baseline and current visit",MT.ADISADA.CRIT2,,,,Derived,,,
118,ADISADA,Analysis Parameter Criteria Variables for BDS Datasets,Char,Cond,CRIT2FL,Criterion 2 Evaluation Result Flag,,text,1,,CRIT2FL,No Yes Response - Y,,,No,,"Set to ""Y"" if CRIT1 is populated",MT.ADISADA.CRIT2FL,,,,Derived,,,
119,ADISADA,Analysis Parameter Criteria Variables for BDS Datasets,Char,Perm,CRIT3,Analysis Criterion 3,,text,54,,CRIT3,Analysis Criterion 3 - ADISADA,,,No,,"If PARAMCD = ""ADA_BABS"" and BASEC = ""POSITIVE"" and AVALC = ""NEGATIVE"" then CRIT1 = ""Positive at baseline and not detected at current visit""",MT.ADISADA.CRIT3,,,,Derived,,,
120,ADISADA,Analysis Parameter Criteria Variables for BDS Datasets,Char,Cond,CRIT3FL,Criterion 3 Evaluation Result Flag,,text,1,,CRIT3FL,No Yes Response - Y,,,No,,"Set to ""Y"" if CRIT1 is populated",MT.ADISADA.CRIT3FL,,,,Derived,,,
121,ADISADA,Flag Variables for BDS Datasets,Char,Cond,ANL01FL,Analysis Flag 01,,text,1,,ANL01FL,No Yes Response - Y,,,No,,"If PARAMCD = ""ADA_BABS"" and either AVALC = ""NEGATIVE"" or DTYPE = ""PHANTOM"" or ISTSTOPO = ""CONFIRM"" then ANL01FL = ""Y""",MT.ADISADA.ANL01FL,,,,Derived,,,
122,ADISADA,SDTM Variable for Traceability,Char,,ISTSTOPO,Test Operational Objective,,text,7,,ISTSTOPO,Test Operational Objective - ADISADA,,,No,,,,,,,Predecessor,IS.ISTSTOPO,,
123,ADISADA,SDTM Variable for Traceability,Char,,ISSTRESC,Character Result/Finding in Std Format,,text,8,,ISSTRESC,,,,No,,,,,,,Predecessor,IS.ISSTRESC,,
124,ADISADA,SDTM Variable for Traceability,Char,,SAMPCOM,Sample Comment,,text,14,,SAMPCOM,,,,No,,,,,,,Predecessor,IS.SAMPCOM,,
125,ADISADA,Datapoint Traceability Variables,Char,Perm,SRCDOM,Source Data,,text,7,,SRCDOM,Source Data - ADISADA,,,No,,,,,,,Assigned,,,IS@AD
127,ADISADA,Datapoint Traceability Variables,Char,Perm,SRCVAR,Source Variable,,text,8,,SRCVAR,Source Variable - ADISADA,,,No,,,,,,,Assigned,,,ISSTRESC@AVALC@CRIT2FL@CRIT1FL@ISSTRESN@CRIT3FL
126,ADISADA,Datapoint Traceability Variables,Num,Perm,SRCSEQ,Source Sequence Number,,integer,2,,SRCSEQ,,,,No,,,,,,,Assigned,,,
1,ADLB,Identifier Variables for BDS Datasets,Char,Req,STUDYID,Study Identifier,,text,11,,STUDYID,Source Sequence Number - ADISADA,,,Yes,,,,,,,Predecessor,ADSL.STUDYID,,
2,ADLB,Identifier Variables for BDS Datasets,Char,Req,USUBJID,Unique Subject Identifier,,text,18,,USUBJID,,,,Yes,,,,,,,Predecessor,ADSL.USUBJID,,
3,ADLB,ADSL Identifier Variables,Char,Req,SUBJID,Subject Identifier for the Study,,text,3,,SUBJID,,,,No,,,,,,,Predecessor,ADSL.SUBJID,,
4,ADLB,Identifier Variables for BDS Datasets,Char,Perm,SITEID,Study Site Identifier,,text,2,,SITEID,Study Site Identifier,,,No,,,,,,,Predecessor,ADSL.SITEID,,
5,ADLB,ADSL Subject Demographics Variables,Num,Req,AGE,Age,,integer,2,,AGE,,,,No,,,,,,,Predecessor,ADSL.AGE,,
6,ADLB,ADSL Subject Demographics Variables,Char,Req,AGEU,Age Units,,text,5,,AGEU,Age Units,,,No,,,,,,,Predecessor,ADSL.AGEU,,YEARS
7,ADLB,ADSL Subject Demographics Variables,Char,Req,SEX,Sex,,text,1,,SEX,Sex,,,No,,,,,,,Predecessor,ADSL.SEX,,M@F
8,ADLB,ADSL Subject Demographics Variables,Char,Req,RACE,Race,,text,41,,RACE,Race,,,No,,,,,,,Predecessor,ADSL.RACE,,WHITE@BLACK OR AFRICAN AMERICAN@OTHER@ASIAN
9,ADLB,ADSL Population Indicator Variables,Char,Cond,SAFFL,Safety Population Flag,,text,1,,SAFFL,No Yes Response - N/Y,,,Yes,,,,,,,Predecessor,ADSL.SAFFL,,Y
10,ADLB,ADSL Population Indicator Variables (Sponsor-Defined),Char,,PKFL,Pharmacokinetic Analysis Population Flag,,text,1,,PKFL,No Yes Response - N/Y,,,No,,,,,,,Predecessor,ADSL.PKFL,,Y
11,ADLB,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTSDT,Date of First Exposure to Treatment,,integer,5,,TRTSDT,,YYMMDD10.,,No,,,,,,,Predecessor,ADSL.TRTSDT,,
12,ADLB,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTSTM,Time of First Exposure to Treatment,,integer,5,,TRTSTM,,TIME5.,,No,,,,,,,Predecessor,ADSL.TRTSTM,,
13,ADLB,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTSDTM,Datetime of First Exposure to Treatment,,integer,10,,TRTSDTM,,E8601DT16.,,No,,,,,,,Predecessor,ADSL.TRTSDTM,,
14,ADLB,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTEDT,Date of Last Exposure to Treatment,,integer,5,,TRTEDT,,YYMMDD10.,,No,,,,,,,Predecessor,ADSL.TRTEDT,,
15,ADLB,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTETM,Time of Last Exposure to Treatment,,integer,5,,TRTETM,,TIME5.,,No,,,,,,,Predecessor,ADSL.TRTETM,,
16,ADLB,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTEDTM,Datetime of Last Exposure to Treatment,,integer,10,,TRTEDTM,,E8601DT16.,,No,,,,,,,Predecessor,ADSL.TRTEDTM,,
17,ADLB,Record-Level Treatment Variables for BDS Datasets ,Char,Cond,TRTP,Planned Treatment,,text,30,,TRTP,Planned/Actual Treatment ,,,No,,,,,,,Predecessor,ADSL.TRT01P,,Placebo@0.15 mg MEDI0618 (intravenous)@0.45 mg MEDI0618 (intravenous)@1.35 mg MEDI0618 (intravenous)@4 mg MEDI0618 (intravenous)@12 mg MEDI0618 (intravenous)@40 mg MEDI0618 (intravenous)@100 mg MEDI0618 (intravenous)@200 mg MEDI0618 (intravenous)@100 mg MEDI0618 (subcutaneous)
18,ADLB,Record-Level Treatment Variables for BDS Datasets (Sponsor-Defined),Char,,TRTPG1,Planned Pooled Treatment 1,,text,8,,TRTPG1,Planned/Actual Pooled Treatment,,,No,,,,,,,Predecessor,ADSL.TRT01PG1,,Placebo@MEDI0618
19,ADLB,Record-Level Treatment Variables for BDS Datasets ,Char,,TRTA,Actual Treatment,,text,30,,TRTA,Planned/Actual Treatment ,,,No,,,,,,,Predecessor,ADSL.TRT01A,,Placebo@0.15 mg MEDI0618 (intravenous)@0.45 mg MEDI0618 (intravenous)@1.35 mg MEDI0618 (intravenous)@4 mg MEDI0618 (intravenous)@12 mg MEDI0618 (intravenous)@40 mg MEDI0618 (intravenous)@80 mg MEDI0618 (intravenous)@200 mg MEDI0618 (intravenous)@100 mg MEDI0618 (subcutaneous)
20,ADLB,Record-Level Treatment Variables for BDS Datasets (Sponsor-Defined),Char,,TRTAG1,Actual Pooled Treatment 1,,text,8,,TRTAG1,Planned/Actual Pooled Treatment,,,No,,,,,,,Predecessor,ADSL.TRT01AG1,,Placebo@MEDI0618
21,ADLB,Grouping Variables for BDS (Sponsor-Defined),Char,,COHORT,Cohort ,,text,23,,COHORT,Cohort,,,No,,,,,,,Predecessor,ADSL.COHORT,,COHORT 1 (INTRAVENOUS)@COHORT 2 (INTRAVENOUS)@COHORT 3 (INTRAVENOUS)@COHORT 4 (INTRAVENOUS)@COHORT 5 (INTRAVENOUS)@COHORT 6 (INTRAVENOUS)@COHORT 7 (INTRAVENOUS)@COHORT 8 (INTRAVENOUS)@COHORT 9 (SUBCUTANEOUS)
22,ADLB,Grouping Variables for BDS (Sponsor-Defined),Char,,COHORTG1,Pooled Cohort Group 1,,text,24,,COHORTG1,Pooled Cohort Group 1,,,No,,,,,,,Predecessor,ADSL.COHORTG1,,COHORT 1 (INTRAVENOUS)@COHORT 2 (INTRAVENOUS)@COHORT 3 (INTRAVENOUS)@COHORT 4 (INTRAVENOUS)@COHORT 5-8 (INTRAVENOUS)@COHORT 9 (SUBCUTANEOUS)
23,ADLB,Grouping Variables for BDS (Sponsor-Defined),Char,,COHORTG2,Pooled Cohort Group 2,,text,24,,COHORTG2,Pooled Cohort Group 2,,,No,,,,,,,Predecessor,ADSL.COHORTG2,,COHORT 1-8 (INTRAVENOUS)
24,ADLB,Sponsor-defined,Char,,ADAPOSFL,ADA Positive at any Visit,,text,1,,ADAPOSFL,No Yes Response - N/Y,,,No,,,,,,,Predecessor,ADSL.ADAPOSFL,,N@Y
25,ADLB,Timing Variables for BDS Datasets,Num,Perm,ADT,Analysis Date,,integer,5,,ADT,,YYMMDD10.,,No,,Date part of LB.LBDTC converted to numeric SAS date,MT.ADLB.ADT,,,,Derived,,,
26,ADLB,Timing Variables for BDS Datasets,Num,Perm,ATM,Analysis Time,,integer,5,,ATM,,TIME5.,,No,,Time part of LB.LBDTC converted to numeric SAS time,MT.ADLB.ATM,,,,Derived,,,
27,ADLB,Timing Variables for BDS Datasets,Num,Perm,ADTM,Analysis Datetime,,integer,10,,ADTM,,E8601DT16.,,No,,LB.LBDTC converted to numeric SAS date,MT.ADLB.ADTM,,,,Derived,,,
28,ADLB,Timing Variables for BDS Datasets,Num,Perm,ADY,Analysis Relative Day ,,integer,3,,ADY,,,,No,,If ADT >= TRTSDT then ADY = ADT - TRTSDT + 1. Else if ADT<TRTSDT then ADY = ADT - TRTSDT,MT.ADLB.ADY,,,,Derived,,,
43,ADLB,Timing Variables for BDS Datasets,Char,Cond,AVISIT,Analysis Visit ,,text,21,,AVISIT,Analysis Visits - ADLB,,,No,,"If ADTM <= TRTSDTM then AVISIT = ""Baseline"". Else if LB.VISIT=""TREATMENT"" then AVISIT = ""Treatment"". Else AVISIT = ""DAY XX"" with XX being the prescribed study day of LB.VISIT",MT.ADLB.AVISIT,,,,Derived,,,Day 8@Treatment@Baseline@Day 15@Day 29@Unscheduled 6.11@Day 57@Unscheduled 8.11@Unscheduled 7.01@Day 85@Day 71@Unscheduled 2.02@Early termination@Post-Baseline Maximum
44,ADLB,Timing Variables for BDS Datasets,Num,Perm,AVISITN,Analysis Visit (N),,float,4,2,AVISITN,Analysis Visits (N) - ADLB,,,No,Numeric code for AVISITN,,,,,,Assigned,,,
45,ADLB,Timing Variables for BDS Datasets,Char,Cond,ATPT,Analysis Timepoint,,text,8,,ATPT,Analysis Timepoints - ADLB,,,Yes,,"If VISITNUM=1 then ATPT = ""Pre-dose"". Else if LB.LBTPT=""60 MIN"" then ATPT = ""1 hour"". Else if LB.LBTPT ^= MISSING then ATPT = lowcase(LB.LBTPT). ",MT.ADLB.ATPT,,,,Derived,,,48 hours@24 hours@Pre-dose
46,ADLB,Timing Variables for BDS Datasets,Num,Perm,ATPTN,Analysis Timepoint (N),,integer,5,,ATPTN,Analysis Timepoints (N) - ADLB,,,No,Numeric code for ATPT,,,,,,Assigned,,,
47,ADLB,Timing Variables for BDS Datasets,Char,Perm,ATPTREF,Analysis Timepoint Reference,,text,17,,ATPTREF,Analysis Timepoint Reference,,,No,,"If LB.LBTPTREF=""START OF EXPOSURE TO STUDY DRUG"" or VISITNUM=1  then ATPTREF = ""Start of exposure"". Else if LB.LBTPTREF=""END OF EXPOSURE TO STUDY DRUG"" then ATPTREF = ""End of exposure""",MT.ADLB.ATPTREF,,,,Derived,,,End of exposure@Start of exposure
48,ADLB,Timing Variables for BDS Datasets (Sponsor-Defined),Num,,ARFTDTM,Anchor Timepoint for Analysis Rel. Time,,integer,10,,ARFTDTM,,E8601DT16.,,No,,"If LB.LBTPTREF=""START OF TREATMENT"" or VISITNUM=1 then ARFTDTM = TRTSDTM. Else if LB.LBTPTREF=""END OF TREATMENT"" then ARFTDTM = TRTEDTM",MT.ADLB.ARFTDTM,,,,Derived,,,
49,ADLB,Timing Variables for BDS Datasets,Num,Perm,ARELTM,Analysis Relative Time,,integer,5,,ARELTM,,TIME5.,,No,,ARELTM = ADTM - ARFTDTM,MT.ADLB.ARELTM,,,,Derived,,,
50,ADLB,Timing Variables for BDS Datasets,Char,Perm,ARELTMU,Analysis Relative Time Unit,,text,5,,ARELTMU,Analysis Relative Time Unit,,,No,HH:MM,,,,,,Assigned,,,HH:MM
104,ADLB,Analysis Parameter Variables for BDS Datasets,Char,Req,PARAM,Parameter ,,text,45,,PARAM,Parameter - ADLB,,,Yes,Concatenation of LB.LBTEST and LB.LBSTRESU,,,,,,Assigned,,,"Alanine Aminotransferase (U/L)@Albumin (g/L)@Alkaline Phosphatase (U/L)@Aspartate Aminotransferase (U/L)@Bicarbonate (mmol/L)@Bilirubin (umol/L)@C Reactive Protein (mg/L)@Calcium (mmol/L)@Chloride (mmol/L)@Cholesterol (mmol/L)@Creatine Kinase (U/L)@Creatinine (umol/L)@Creatinine Clearance (mL/min/1.73m2)@Glucose (mmol/L)@HDL Cholesterol (mmol/L)@LDL Cholesterol (mmol/L)@Phosphate (mmol/L)@Potassium (mmol/L)@Protein (g/L)@Sodium (mmol/L)@Triglycerides (mmol/L)@Urea Nitrogen (mmol/L)@Activated Partial Thromboplastin Time (sec)@Prothrombin Intl. Normalized Ratio@Prothrombin Time (%)@Amphetamine@Barbiturates@Benzodiazepine@Cocaine@Opiate@Tetrahydrocannabinol@Basophils (10^9/L)@Eosinophils (10^9/L)@Ery. Mean Corpuscular HGB Concentration (g/L)@Ery. Mean Corpuscular Hemoglobin (pg)@Erythrocytes (10^12/L)@Hematocrit (L/L)@Hemoglobin (g/L)@Hemoglobin A1C (%)@Leukocytes (10^9/L)@Lymphocytes (10^9/L)@Monocytes (10^9/L)@Neutrophils (10^9/L)@Platelets (10^9/L)@Reticulocytes (10^9/L)@Thyrotropin (mU/L)@Creatinine (mmol/L)@Occult Blood@Direct Bilirubin (umol/L)@Indirect Bilirubin (umol/L)@Bacteria@Calcium Carbonate Crystals@Epithelial Cells (/HPF)@Erythrocytes (/HPF)@Granular Casts (/HPF)@Hyaline Casts (/HPF)@Leukocytes (/HPF)@Oxalate@Triple Phosphate Crystals@Urate@Choriogonadotropin Beta (IU/L)@Follicle Stimulating Hormone (U/L)@Thyroxine, Free (pmol/L)"
105,ADLB,Analysis Parameter Variables for BDS Datasets,Char,Req,PARAMCD,Parameter Code,,text,8,,PARAMCD,Parameter Code - ADLB,,,Yes,LB.LBTESTCD,,,,,,Assigned,,,ALT@ALB@ALP@AST@BICARB@BILI@CRP@CL@CHOL@CK@CREAT@CREATCLR@GLUC@HDL@LDL@PHOS@PROT@SODIUM@TRIG@UREAN@APTT@INR@AMPHET@BARB@BNZDZPN@COCAINE@OPIATE@THC@BASO@EOS@MCHC@RBC@HCT@HGB@HBA1C@WBC@LYM@MONO@NEUT@PLAT@RETI@TSH@OCCBLD@BILDIR@BILIND@BACT@CYCACAR@EPIC@CSGRAN@CSHYAL@OXALATE@CYTRPHOS@URATE@HCG@FSH@T4FR
